FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Frank Ntilikina,Nyk,G,22.98,3,1.2,2.4,12.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Paul Reed,Phi,F,22.1,3,3.5,7.3,16.4,0,0,0,4,0.5,0,0,0.5,0.5,1.3,2.7,41.8,0,0,0,0.33,0,0,,
Matt Thomas,Uta,G,26.96,3,2.3,4.8,12.8,0,0,0,2,0,0,0,0,0,0,0.3,8.4,0,0,0,0,0,0,,
Xavier Tillman,Mem,F,22.52,3,5.9,12.3,14.3,16.7,0,0,4,0.25,1,0,0.2,0.2,0.7,1,9.4,0.3,6.5,0.33,0,0.33,4,56.3,103
Gabe Vincent,Mia,G,25.1,3,4.7,9.9,12.4,25,0,0,1,1,2,0.5,0.833,0.833,1.7,0.3,3.4,0.7,24.5,0,0,0.33,6,128,119.2
Kemba Walker,Bos,G,31.2,3,30.3,63.1,24.9,15,10,0.9,24,0.417,17,0.176,0.354,0.419,12.7,4,7.6,4,20.1,0.33,0,2.67,7.8,87.2,107
Tremont Waters,Bos,G,23.53,3,2,4.1,52.5,27.3,3,0.667,2,0.5,2,0,0.25,0.376,1.3,0,0,0.7,53.8,0.33,0,0.67,0,,
Robert Williams III,Bos,C-F,23.76,3,15.2,31.7,14.7,6.3,2,0.5,14,0.643,0,0,0.643,0.638,6.3,5,19,0.7,7.3,0.33,3,0.33,7.4,139.8,100.2
Nemanja Bjelica,Mia,F,33.2,2,15.2,31.6,19.8,0,6,0.667,3,0.333,8,0.5,0.636,0.66,9,2.5,8,1,12,1,0.5,0,7.4,138.9,94.2
Keljin Blevins,Por,G,25.66,2,2,4.1,23.1,0,0,0,1,1,1,0,0.5,0.5,1,0,0,0,0,0,0,0,0,,
Jarrell Brantley,Uta,F,25.12,2,1.7,3.5,37.5,34.7,2,0.5,1,0,0,0,0,0.266,0.5,0.5,17.1,0,0,0,0,0.5,0,,
Trey Burke,Dal,G,28.69,2,8.3,17.3,21.5,0,2,0.5,4,0,3,0,0,0.063,0.5,0.5,3.5,0.5,7.4,0,0,0,2.4,34.7,116.6
Brandon Clarke,Mem,F-G,24.83,2,4.8,9.9,8.9,0,0,0,2,0.5,0,0,0.5,0.5,1,0.5,5.8,0,0,0,0.5,0,0,102.4,119
Jared Dudley,Lal,F,36.03,2,2.5,5.1,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
Carsen Edwards,Bos,G,23.36,2,2.7,5.6,23.5,0,0,0,1,1,2,0.5,0.833,0.833,2.5,0.5,10.7,0,0,0,0,0,0,,
CJ Elleby,Por,F-G,21.09,2,4,8.3,11.3,50,0,0,1,0,0,0,0,0,0,1.5,21.7,0.5,14.8,0,0,0.5,0,59.2,119
